date;NO2;zscore_NO2
2019-05-08;18.5;0
2019-05-09;41.5;0
2019-05-10;20.58;0
2019-05-11;15.04;0
2019-05-12;10.21;0
2019-05-13;19.92;0
2019-05-14;31.42;0
2019-05-15;38.08;0
2019-05-16;22.88;0
2019-05-17;26.12;0
2019-05-18;16.58;0
2019-05-19;15.04;0
2019-05-20;25.88;0
2019-05-21;28.48;0
2019-05-22;31.08;0
2019-05-23;21.38;0
2019-05-24;17.71;0
2019-05-25;14.88;0
2019-05-26;12.12;0
2019-05-27;16.67;0
2019-05-28;18.08;0
2019-05-29;23.88;0
2019-05-30;20.98;0
2019-05-31;28.82;0
2019-06-01;36.67;0
2019-06-02;28.5;0
2019-06-03;27.62;0
2019-06-04;18.88;0
2019-06-05;21.18;0
2019-06-06;21.33;0
2019-06-07;17.04;0
2019-06-08;18.46;0
2019-06-09;18.62;0
2019-06-10;18.25;0
2019-06-11;12.67;0
2019-06-12;19.12;0
2019-06-13;26.0;0
2019-06-14;30.54;0
2019-06-15;17.04;0
2019-06-16;16.96;0
2019-06-17;26.38;0
2019-06-18;29.52;0
2019-06-19;20.92;0
2019-06-20;21.08;0
2019-06-21;15.29;0
2019-06-22;19.46;0
2019-06-23;19.29;0
2019-06-24;30.21;0
2019-06-25;24.21;0
2019-06-26;17.83;0
2019-06-27;22.08;0
2019-06-28;20.38;0
2019-06-29;13.83;0
2019-06-30;9.83;0
2019-07-01;13.5;0
2019-07-02;14.68;0
2019-07-03;19.54;0
2019-07-04;25.38;0
2019-07-05;21.71;0
2019-07-06;19.83;0
2019-07-07;13.71;0
2019-07-08;17.75;0
2019-07-09;21.46;0
2019-07-10;24.71;0
2019-07-11;29.12;0
2019-07-12;18.5;0
2019-07-13;10.71;0
2019-07-14;11.67;0
2019-07-15;17.0;0
2019-07-16;19.04;0
2019-07-17;22.96;0
2019-07-18;18.35;0
2019-07-19;22.17;0
2019-07-20;16.04;0
2019-07-21;10.67;0
2019-07-22;13.12;0
2019-07-23;22.29;0
2019-07-24;26.29;0
2019-07-25;20.33;0
2019-07-26;17.62;0
2019-07-27;12.88;0
2019-07-28;14.38;0
2019-07-29;14.12;0
2019-07-30;16.57;0
2019-07-31;16.88;0
2019-08-01;17.42;0
2019-08-02;19.71;0
2019-08-03;20.25;0
2019-08-04;15.12;0
2019-08-05;23.17;0
2019-08-06;20.88;0
2019-08-07;21.0;0
2019-08-08;18.46;0
2019-08-09;23.88;0
2019-08-10;17.29;0
2019-08-11;11.83;0
2019-08-12;16.94;0
2019-08-13;22.04;0
2019-08-14;17.38;0
2019-08-15;20.56;0
2019-08-16;20.56;0
2019-08-17;23.75;0
2019-08-18;15.42;0
2019-08-19;16.67;0
2019-08-20;14.29;0
2019-08-21;16.79;0
2019-08-22;24.04;0
2019-08-23;44.92;0
2019-08-24;17.88;0
2019-08-25;12.71;0
2019-08-26;21.58;0
2019-08-27;22.58;0
2019-08-28;18.65;0
2019-08-29;22.12;0
2019-08-30;18.79;0
2019-08-31;17.58;0
2019-09-01;12.08;0
2019-09-02;14.29;0
2019-09-03;24.83;0
2019-09-04;21.54;0
2019-09-05;17.04;0
2019-09-06;23.67;0
2019-09-07;21.38;0
2019-09-08;15.96;0
2019-09-09;12.25;0
2019-09-10;18.55;0
2019-09-11;22.79;0
2019-09-12;21.83;0
2019-09-13;22.67;0
2019-09-14;18.12;0
2019-09-15;16.17;0
2019-09-16;30.92;0
2019-09-17;30.04;0
2019-09-18;19.58;0
2019-09-19;21.58;0
2019-09-20;28.21;0
2019-09-21;19.04;0
2019-09-22;18.79;0
2019-09-23;30.83;0
2019-09-24;24.25;0
2019-09-25;29.7;0
2019-09-26;30.04;0
2019-09-27;24.46;0
2019-09-28;27.33;0
2019-09-29;19.33;0
2019-09-30;21.21;0
2019-10-01;18.33;0
2019-10-02;17.38;0
2019-10-03;26.21;0
2019-10-04;27.46;0
2019-10-05;22.33;0
2019-10-06;17.0;0
2019-10-07;34.0;0
2019-10-08;27.54;0
2019-10-09;26.67;0
2019-10-10;28.71;0
2019-10-11;28.12;0
2019-10-12;21.21;0
2019-10-13;16.5;0
2019-10-14;27.71;0
2019-10-15;37.83;0
2019-10-16;39.54;0
2019-10-17;29.21;0
2019-10-18;37.46;0
2019-10-19;22.75;0
2019-10-20;21.92;0
2019-10-21;31.71;0
2019-10-22;29.78;0
2019-10-23;36.83;0
2019-10-24;38.29;0
2019-10-25;30.04;0
2019-10-26;40.62;0
2019-10-27;36.75;0
2019-10-28;46.25;0
2019-10-29;41.46;0
2019-10-30;38.38;0
2019-10-31;31.5;0
2019-11-01;25.79;0
2019-11-02;17.5;0
2019-11-03;10.38;0
2019-11-04;19.58;0
2019-11-05;23.33;0
2019-11-06;32.21;0
2019-11-07;22.32;0
2019-11-08;33.17;0
2019-11-09;23.79;0
2019-11-10;23.58;0
2019-11-11;30.75;0
2019-11-12;39.38;0
2019-11-13;28.96;0
2019-11-14;30.92;0
2019-11-15;35.79;0
2019-11-16;29.62;0
2019-11-17;25.33;0
2019-11-18;39.04;0
2019-11-19;42.38;0
2019-11-20;46.21;0
2019-11-21;50.04;0
2019-11-22;28.46;0
2019-11-23;28.42;0
2019-11-24;41.42;0
2019-11-25;43.75;0
2019-11-26;32.96;0
2019-11-27;46.33;0
2019-11-28;46.52;0
2019-11-29;40.46;0
2019-11-30;37.62;0
2019-12-01;28.04;0
2019-12-02;37.71;0
2019-12-03;38.88;0
2019-12-04;43.5;0
2019-12-05;44.61;0
2019-12-06;31.67;0
2019-12-07;36.88;0
2019-12-08;33.25;0
2019-12-09;35.21;0
2019-12-10;46.88;0
